,None_c=3,None_c=4,None_c=5,Normalisation_c=3,Normalisation_c=4,Normalisation_c=5,PCA_c=3,PCA_c=4,PCA_c=5,Transform_c=3,Transform_c=4,Transform_c=5,Scale_c=3,Scale_c=4,Scale_c=5
Silhouette,0.35155761891354503,0.35155761891354503,0.35155761891354503,0.34341668805241077,0.34341668805241077,0.34341668805241077,0.35155761891354526,0.35155761891354526,0.35155761891354526,0.35155761891354503,0.35155761891354503,0.35155761891354503,0.31968886613351655,0.31968886613351655,0.31968886613351655
Calinski-Harabasz,445.08110472913967,445.08110472913967,445.08110472913967,176.9949023795978,176.9949023795978,176.9949023795978,445.0811047291399,445.0811047291399,445.0811047291399,445.08110472913967,445.08110472913967,445.08110472913967,234.71155544208196,234.71155544208196,234.71155544208196
Davies-Bouldin,0.9806305938158804,0.9806305938158804,0.9806305938158804,0.9040893103996975,0.9040893103996975,0.9040893103996975,0.980630593815883,0.980630593815883,0.980630593815883,0.9806305938158804,0.9806305938158804,0.9806305938158804,1.0427102271304332,1.0427102271304332,1.0427102271304332
