,None_c=3,None_c=4,None_c=5,Normalisation_c=3,Normalisation_c=4,Normalisation_c=5,PCA_c=3,PCA_c=4,PCA_c=5,Transform_c=3,Transform_c=4,Transform_c=5,Scale_c=3,Scale_c=4,Scale_c=5
Silhouette,0.4972279726640147,0.4972279726640147,0.4972279726640147,0.38858561081095067,0.38858561081095067,0.38858561081095067,0.49722797266401453,0.49722797266401453,0.49722797266401453,0.4972279726640147,0.4972279726640147,0.4972279726640147,0.4446273300650682,0.4446273300650682,0.4446273300650682
Calinski-Harabasz,529.1207190840454,529.1207190840454,529.1207190840454,206.24123423108557,206.24123423108557,206.24123423108557,529.1207190840457,529.1207190840457,529.1207190840457,529.1207190840454,529.1207190840454,529.1207190840454,313.18384060584265,313.18384060584265,313.18384060584265
Davies-Bouldin,0.7760382522224323,0.7760382522224323,0.7760382522224323,0.8721749254822716,0.8721749254822716,0.8721749254822716,0.7760382522224267,0.7760382522224267,0.7760382522224267,0.7760382522224323,0.7760382522224323,0.7760382522224323,0.9011266144589232,0.9011266144589232,0.9011266144589232
