,None_c=3,None_c=4,None_c=5,Normalisation_c=3,Normalisation_c=4,Normalisation_c=5,PCA_c=3,PCA_c=4,PCA_c=5,Transform_c=3,Transform_c=4,Transform_c=5,Scale_c=3,Scale_c=4,Scale_c=5
Silhouette,0.49142255311907995,0.49142255311907995,0.49142255311907995,0.4170079666792081,0.4170079666792081,0.4170079666792081,0.4914225531190796,0.4914225531190796,0.4914225531190796,0.49142255311907995,0.49142255311907995,0.49142255311907995,0.3982039357062952,0.3982039357062952,0.3982039357062952
Calinski-Harabasz,466.63088696085265,466.63088696085265,466.63088696085265,114.65793563654437,114.65793563654437,114.65793563654437,466.6308869608528,466.6308869608528,466.6308869608528,466.63088696085265,466.63088696085265,466.63088696085265,268.70139550095394,268.70139550095394,268.70139550095394
Davies-Bouldin,0.6582271985497592,0.6582271985497592,0.6582271985497592,0.5865253440048614,0.5865253440048614,0.5865253440048614,0.6582271985497585,0.6582271985497585,0.6582271985497585,0.6582271985497592,0.6582271985497592,0.6582271985497592,0.8559193132950065,0.8559193132950065,0.8559193132950065
