,None_c=3,None_c=4,None_c=5,Normalisation_c=3,Normalisation_c=4,Normalisation_c=5,PCA_c=3,PCA_c=4,PCA_c=5,Transform_c=3,Transform_c=4,Transform_c=5,Scale_c=3,Scale_c=4,Scale_c=5
Silhouette,-0.0987011068352364,-0.0987011068352364,-0.0987011068352364,-0.30067521467860825,-0.30067521467860825,-0.30067521467860825,-0.09870110683523596,-0.09870110683523596,-0.09870110683523596,-0.0987011068352364,-0.0987011068352364,-0.0987011068352364,-0.21973486413157,-0.21973486413157,-0.21973486413157
Calinski-Harabasz,23.004158814162754,23.004158814162754,23.004158814162754,8.539353285042582,8.539353285042582,8.539353285042582,23.004158814162764,23.004158814162764,23.004158814162764,23.004158814162754,23.004158814162754,23.004158814162754,16.398007788890737,16.398007788890737,16.398007788890737
Davies-Bouldin,2.145693507231532,2.145693507231532,2.145693507231532,2.503840573778183,2.503840573778183,2.503840573778183,2.145693507231545,2.145693507231545,2.145693507231545,2.145693507231532,2.145693507231532,2.145693507231532,3.181224060814554,3.181224060814554,3.181224060814554
